,tradingsymbol,instrument_token,mis_multiplier
0,ZEEL,975873,5.0
1,YESBANK,3050241,3.0
2,WONDERLA,768513,3.0
3,WOCKPHARMA,1921537,12.5
4,WINDMACHIN,6392065,3.0
5,WHIRLPOOL,4610817,3.0
6,WELSPUNIND,2880769,3.0
7,WELENT,2976257,3.0
8,WELCORP,3026177,3.0
9,USHAMART,2263041,3.0
10,UPL,2889473,12.5
11,UNIVCABLES,923393,3.0
12,UNIONBANK,2752769,11.0
13,ULTRACEMCO,2952193,12.5
14,UJJIVAN,4369665,9.0
15,UCOBANK,2873089,3.0
16,UBL,4278529,12.5
17,TWL,3945985,3.0
18,TVSMOTOR,2170625,12.5
19,TV18BRDCST,3637249,11.0
20,TTKPRESTIG,907777,3.0
21,TRIVENI,3348737,3.0
22,TRIGYN,1389569,3.0
23,TRIDENT,2479361,3.0
24,TRENT,502785,3.0
25,TORNTPOWER,3529217,12.5
26,TNPL,1018881,3.0
27,TNPETRO,898305,3.0
28,TITAN,897537,12.5
29,TIRUMALCHM,894977,3.0
30,TINPLATE,894209,3.0
31,TIMETECHNO,3764993,3.0
32,TIFIN,5565441,3.0
33,THYROCARE,4360193,3.0
34,THOMASCOOK,891137,3.0
35,THERMAX,889601,3.0
36,TEXRAIL,5587969,3.0
37,TEXMOPIPES,4662785,3.0
38,TEJASNET,5409537,3.0
39,TECHM,3465729,12.5
40,TCS,2953217,12.5
41,TCI,2708481,3.0
42,TBZ,6921473,3.0
43,TATASTEEL,895745,12.5
44,TATAPOWER,877057,12.5
45,TATAMTRDVR,4343041,3.0
46,TATAMOTORS,884737,3.0
47,TATAINVEST,414977,3.0
48,TATAGLOBAL,878593,12.5
49,TATAELXSI,873217,12.5
50,TATACOMM,952577,12.5
51,TATACOFFEE,185345,3.0
52,TATACHEM,871681,12.5
53,TANLA,3577857,3.0
54,TALWALKARS,4812033,3.0
55,TAKE,3818753,3.0
56,SYNGENE,2622209,3.0
57,SYNDIBANK,1837825,11.0
58,SWANENERGY,6936321,3.0
59,SUZLON,3076609,5.0
60,SUVEN,2875649,3.0
61,SUPREMEIND,860929,3.0
62,SUNTV,3431425,11.0
63,SUNTECK,4516097,3.0
64,SUNPHARMA,857857,9.0
65,SUNDRMFAST,856321,3.0
66,SUNDARMFIN,854785,3.0
67,STRTECH,2383105,3.0
68,STCINDIA,2802689,3.0
69,STARPAPER,842497,3.0
70,STAR,1887745,3.0
71,SKFINDIA,815617,3.0
72,SJVN,4834049,3.0
73,SIS,5504257,3.0
74,SINTEX,1492737,3.0
75,SIMPLEXINF,809473,3.0
76,SIEMENS,806401,12.5
77,SHREECEM,794369,12.5
78,SHIVAMAUTO,3521537,3.0
79,SHARDAMOTR,2695681,3.0
80,SEQUENT,3659777,3.0
81,SELAN,3481089,3.0
82,SCI,780289,3.0
83,SCHNEIDER,7995905,3.0
84,SCHAND,5298689,3.0
85,SCHAEFFLER,258817,3.0
86,SBIN,779521,12.5
87,SBILIFE,5582849,3.0
88,SAREGAMA,1252353,3.0
89,WALCHANNAG,956417,3.0
90,WABCOINDIA,4330241,3.0
91,VTL,530689,3.0
92,VOLTAS,951809,12.5
93,VIPIND,947969,3.0
94,VIPCLOTHNG,3799809,3.0
95,VIJAYABANK,2426625,3.0
96,VGUARD,3932673,12.5
97,VEDL,784129,5.0
98,SANOFI,369153,3.0
99,SANGHVIMOV,3598849,3.0
